X,Y,OBJECTID,SITE_ID,LOCATION,X,Y,UGM3_2011,UGM3_2012,UGM3_2013,UGM3_2014,UGM3_2015,UGM3_2016,UGM3_2017,UGM3_2018,UGM3_2019,UGM3_2020,UGM3_2021
359435,176574,35,163,Strathmore Road,359435,176574,      38.299999999999997,      38.799999999999997,      43.000000000000000,      39.100000000000001,      37.000000000000000,,,,,,
362147,170525,36,175,top of Brislington Hill,362147,170525,      56.299999999999997,      54.700000000000003,      55.299999999999997,      51.700000000000003,      52.899999999999999,,,,,,
357880,170506,37,239,Parson St. A38 East,357880,170506,      82.000000000000000,      76.900000000000006,      78.000000000000000,      69.599999999999994,      69.200000000000003,,,,,,
357510,170401,38,242,Parson Street Bedminster Down Road,357510,170401,      75.500000000000000,      73.900000000000006,      75.099999999999994,      56.200000000000003,      61.700000000000003,,,,,,
357118,172429,39,254,Merchants Road Hotwells,357118,172429,      55.600000000000001,      55.299999999999997,      53.200000000000003,      51.500000000000000,      54.399999999999999,,,,,,
361140,175366,40,260,Stapleton Road South,361140,175366,      52.799999999999997,      45.799999999999997,      46.500000000000000,      46.299999999999997,      45.600000000000001,,,,,,
361103,175059,41,261,Stapleton Road Heath Street,361103,175059,      48.200000000000003,      53.000000000000000,      55.799999999999997,      50.600000000000001,      51.299999999999997,,,,,,
360343,174473,42,263,Gatton Road,360343,174473,      38.500000000000000,      35.700000000000003,      35.000000000000000,      33.899999999999999,      33.600000000000001,,,,,,
359913,174315,43,295,Lamppost   16 Ashley Road St. Pauls,359913,174315,      60.700000000000003,      57.799999999999997,      57.200000000000003,      58.600000000000001,      63.299999999999997,,,,,,
363365,175883,44,300,Facade Haart Estate Agents 755 Fishponds Road Fishponds,363365,175883,      52.799999999999997,      49.899999999999999,      48.500000000000000,      42.399999999999999,      45.899999999999999,,,,,,
361368,175170,45,303,Facade   784 Muller Road Fishponds,361368,175170,      52.100000000000001,      48.500000000000000,      48.200000000000003,      43.500000000000000,      46.100000000000001,,,,,,
360661,173373,46,305,Lamppost     Sarah Street Redfield,360661,173373,      37.299999999999997,      36.000000000000000,      37.100000000000001,      34.200000000000003,      33.299999999999997,,,,,,
360747,175328,47,307,Lamppost     Glenfrome Road  -  Muller Road Horfield,360747,175328,      41.500000000000000,      39.500000000000000,      39.799999999999997,      38.399999999999999,      36.600000000000001,,,,,,
359677,175057,48,311,Give Way sign  Chesterfield Rd  -  Ashley Down Road St. Andrews,359677,175057,      45.299999999999997,      46.700000000000003,      49.500000000000000,      43.299999999999997,      44.000000000000000,,,,,,
359832,174616,49,312,Lamppost     Ashley Hill St. Pauls,359832,174616,      46.399999999999999,      43.700000000000003,      44.500000000000000,      36.700000000000003,      36.799999999999997,,,,,,
357751,174063,50,314,Lamppost     Whiteladies Road  -  Cotham Hill Clifton,357751,174063,      44.100000000000001,      40.399999999999999,      44.399999999999999,      43.000000000000000,      43.899999999999999,,,,,,
358667,173110,51,318,Monitor     Rupert Street City Centre,358667,173110,      95.200000000000003,      90.599999999999994,      88.799999999999997,      88.799999999999997,      91.200000000000003,,,,,,
361180,171567,52,320,Monitor     Bath Road Brislington,361180,171567,      33.100000000000001,      31.500000000000000,      31.100000000000001,      30.899999999999999,      31.300000000000001,,,,,,
361667,175103,53,325,Facade   258 Fishponds Road Fishponds,361667,175103,      53.000000000000000,      49.799999999999997,      45.799999999999997,      49.700000000000003,      50.799999999999997,,,,,,
359075,173613,54,363,5102 faade,359075,173613,      47.399999999999999,      48.000000000000000,      44.299999999999997,      39.799999999999997,      39.200000000000003,,,,,,
359520,173264,55,365,Unite faade,359520,173264,      40.299999999999997,      37.399999999999999,      37.700000000000003,      34.700000000000003,      36.500000000000000,,,,,,
359775,173513,56,370,Great George Street lamppost,359775,173513,      43.700000000000003,      39.500000000000000,      39.399999999999999,      36.899999999999999,      37.700000000000003,,,,,,
359813,173373,57,371,Lamb Street faade,359813,173373,      47.500000000000000,      47.500000000000000,      46.899999999999999,      42.799999999999997,      44.799999999999997,,,,,,
359747,173774,58,373,123 Newfoundland Street faade,359747,173774,      47.899999999999999,      44.899999999999999,      45.200000000000003,      41.600000000000001,      38.299999999999997,,,,,,
359509,173595,59,374,St. Paul Street,359509,173595,      56.200000000000003,      46.799999999999997,      50.700000000000003,      51.799999999999997,      47.100000000000001,,,,,,
